257,2013/07/12 16:46:59 HST
#,,V 257,"MLB, 2013jul12 added config for 13B-Q-91",,,,,,,,,,,
Mode,Pixel Scale,Disperser,Cross Dispersed,Central Wavelength,Focal Plane Unit,Well Depth,Calibration Lamps,Calibration Shutter,Calibration Filter,Calibration Diffuser,Calibration Observe,Calibration Exposure Time,Calibration Coadds,Calibration Basecal
Spectroscopy,"0.05""/pix",111 l/mm grating,No,2.10 - 2.16,0.45 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,40,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,2.10 - 2.16,0.675 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,40,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,2.10 - 2.16,1.0 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,40,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,2.16 - 2.23,0.10 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,60,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,2.16 - 2.23,0.15 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,60,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,2.16 - 2.23,0.20 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,60,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,2.16 - 2.23,0.30 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,60,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,2.16 - 2.23,0.45 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,40,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,2.16 - 2.23,0.675 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,40,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,2.16 - 2.23,1.0 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,40,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,2.23 - 2.31,0.10 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,80,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,2.23 - 2.31,0.15 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,80,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,2.23 - 2.31,0.20 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,80,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,2.23 - 2.31,0.30 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,80,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,2.23 - 2.31,0.45 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,60,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,2.23 - 2.31,0.675 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,60,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,2.23 - 2.31,1.0 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,60,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,2.31 - 2.40,0.10 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,200,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,2.31 - 2.40,0.15 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,200,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,2.31 - 2.40,0.20 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,200,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,2.31 - 2.40,0.30 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,200,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,2.31 - 2.40,0.45 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,180,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,2.31 - 2.40,0.675 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,180,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,2.31 - 2.40,1.0 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,180,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,2.40 - 2.49,0.10 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,200,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,2.40 - 2.49,0.15 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,200,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,2.40 - 2.49,0.20 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,200,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,2.40 - 2.49,0.30 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,200,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,2.40 - 2.49,0.45 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,180,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,2.40 - 2.49,0.675 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,180,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,2.40 - 2.49,1.0 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,180,1,Night
Spectroscopy,"0.05""/pix",32 l/mm grating,No,1.49 - 1.66,0.10 arcsec,Shallow,Ar arc,Closed,none,IR,2,30,1,Night
Spectroscopy,"0.05""/pix",32 l/mm grating,No,1.49 - 1.66,0.15 arcsec,Shallow,Ar arc,Closed,none,IR,2,30,1,Night
Spectroscopy,"0.05""/pix",32 l/mm grating,No,1.49 - 1.66,0.20 arcsec,Shallow,Ar arc,Closed,none,IR,2,30,1,Night
Spectroscopy,"0.05""/pix",32 l/mm grating,No,1.49 - 1.66,0.30 arcsec,Shallow,Ar arc,Closed,none,IR,2,25,1,Night
Spectroscopy,"0.05""/pix",32 l/mm grating,No,1.49 - 1.66,0.45 arcsec,Shallow,Ar arc,Closed,none,IR,2,20,1,Night
Spectroscopy,"0.05""/pix",32 l/mm grating,No,1.49 - 1.66,0.675 arcsec,Shallow,Ar arc,Closed,none,IR,2,20,1,Night
Spectroscopy,"0.05""/pix",32 l/mm grating,No,1.49 - 1.66,1.0 arcsec,Shallow,Ar arc,Closed,none,IR,2,20,1,Night
Spectroscopy,"0.05""/pix",32 l/mm grating,No,1.66 - 1.82,0.10 arcsec,Shallow,Ar arc,Closed,none,IR,2,12,1,Night
Spectroscopy,"0.05""/pix",32 l/mm grating,No,1.66 - 1.82,0.15 arcsec,Shallow,Ar arc,Closed,none,IR,2,12,1,Night
Spectroscopy,"0.05""/pix",32 l/mm grating,No,1.66 - 1.82,0.20 arcsec,Shallow,Ar arc,Closed,none,IR,2,12,1,Night
Spectroscopy,"0.05""/pix",32 l/mm grating,No,1.66 - 1.82,0.30 arcsec,Shallow,Ar arc,Closed,none,IR,2,12,1,Night
Spectroscopy,"0.05""/pix",32 l/mm grating,No,1.66 - 1.82,0.45 arcsec,Shallow,Ar arc,Closed,none,IR,2,8,1,Night
Spectroscopy,"0.05""/pix",32 l/mm grating,No,1.66 - 1.82,0.675 arcsec,Shallow,Ar arc,Closed,none,IR,2,8,1,Night
Spectroscopy,"0.05""/pix",32 l/mm grating,No,1.66 - 1.82,1.0 arcsec,Shallow,Ar arc,Closed,none,IR,2,8,1,Night
Spectroscopy,"0.05""/pix",32 l/mm grating,No,1.91 - 2.35,0.10 arcsec,Shallow,Ar arc,Closed,none,IR,2,60,1,Night
Spectroscopy,"0.05""/pix",32 l/mm grating,No,1.91 - 2.35,0.15 arcsec,Shallow,Ar arc,Closed,none,IR,2,60,1,Night
Spectroscopy,"0.05""/pix",32 l/mm grating,No,1.91 - 2.35,0.20 arcsec,Shallow,Ar arc,Closed,none,IR,2,60,1,Night
Spectroscopy,"0.05""/pix",32 l/mm grating,No,1.91 - 2.35,0.30 arcsec,Shallow,Ar arc,Closed,none,IR,2,60,1,Night
Spectroscopy,"0.05""/pix",32 l/mm grating,No,1.91 - 2.35,0.45 arcsec,Shallow,Ar arc,Closed,none,IR,2,30,1,Night
Spectroscopy,"0.05""/pix",32 l/mm grating,No,1.91 - 2.35,0.675 arcsec,Shallow,Ar arc,Closed,none,IR,2,30,1,Night
Spectroscopy,"0.05""/pix",32 l/mm grating,No,1.91 - 2.35,1.0 arcsec,Shallow,Ar arc,Closed,none,IR,2,30,1,Night
Spectroscopy,"0.05""/pix",32 l/mm grating,No,2.35 - 2.49,0.10 arcsec,Shallow,Ar arc,Closed,none,IR,2,120,1,Night
Spectroscopy,"0.05""/pix",32 l/mm grating,No,2.35 - 2.49,0.15 arcsec,Shallow,Ar arc,Closed,none,IR,2,115,1,Night
Spectroscopy,"0.05""/pix",32 l/mm grating,No,2.35 - 2.49,0.20 arcsec,Shallow,Ar arc,Closed,none,IR,2,105,1,Night
Spectroscopy,"0.05""/pix",32 l/mm grating,No,2.35 - 2.49,0.30 arcsec,Shallow,Ar arc,Closed,none,IR,2,95,1,Night
Spectroscopy,"0.05""/pix",32 l/mm grating,No,2.35 - 2.49,0.45 arcsec,Shallow,Ar arc,Closed,none,IR,2,90,1,Night
Spectroscopy,"0.05""/pix",32 l/mm grating,No,2.35 - 2.49,0.675 arcsec,Shallow,Ar arc,Closed,none,IR,2,85,1,Night
Spectroscopy,"0.05""/pix",32 l/mm grating,No,2.35 - 2.49,1.0 arcsec,Shallow,Ar arc,Closed,none,IR,2,75,1,Night
Spectroscopy,"0.15""/pix",111 l/mm grating,No,1.03 - 1.12,0.30 arcsec,Shallow,Ar arc,Closed,none,IR,2,1.5,1,Night
Spectroscopy,"0.15""/pix",111 l/mm grating,No,1.03 - 1.12,0.45 arcsec,Shallow,Ar arc,Closed,none,IR,2,1.5,1,Night
Spectroscopy,"0.15""/pix",111 l/mm grating,No,1.03 - 1.12,0.675 arcsec,Shallow,Ar arc,Closed,none,IR,2,1,1,Night
Spectroscopy,"0.15""/pix",111 l/mm grating,No,1.03 - 1.12,1.0 arcsec,Shallow,Ar arc,Closed,none,IR,2,1,1,Night
Spectroscopy,"0.15""/pix",111 l/mm grating,No,1.12 - 1.17,0.30 arcsec,Shallow,Ar arc,Closed,none,IR,2,4.5,1,Night
Spectroscopy,"0.15""/pix",111 l/mm grating,No,1.12 - 1.17,0.45 arcsec,Shallow,Ar arc,Closed,none,IR,2,3.5,1,Night
Spectroscopy,"0.15""/pix",111 l/mm grating,No,1.12 - 1.17,0.675 arcsec,Shallow,Ar arc,Closed,none,IR,2,2.5,1,Night
Spectroscopy,"0.15""/pix",111 l/mm grating,No,1.12 - 1.17,1.0 arcsec,Shallow,Ar arc,Closed,none,IR,2,1.5,1,Night
Spectroscopy,"0.15""/pix",111 l/mm grating,No,1.17 - 1.28,0.30 arcsec,Shallow,Ar arc,Closed,none,IR,2,0.6,1,Night
Spectroscopy,"0.15""/pix",111 l/mm grating,No,1.17 - 1.28,0.45 arcsec,Shallow,Ar arc,Closed,none,IR,2,0.6,1,Night
Spectroscopy,"0.15""/pix",111 l/mm grating,No,1.17 - 1.28,0.675 arcsec,Shallow,Ar arc,Closed,none,IR,2,0.6,1,Night
Spectroscopy,"0.15""/pix",111 l/mm grating,No,1.17 - 1.28,1.0 arcsec,Shallow,Ar arc,Closed,none,IR,2,0.6,1,Night
Spectroscopy,"0.15""/pix",111 l/mm grating,No,1.28 - 1.37,0.30 arcsec,Shallow,Ar arc,Closed,none,IR,2,0.2,1,Night
Spectroscopy,"0.15""/pix",111 l/mm grating,No,1.28 - 1.37,0.45 arcsec,Shallow,Ar arc,Closed,none,IR,2,0.2,1,Night
Spectroscopy,"0.15""/pix",111 l/mm grating,No,1.28 - 1.37,0.675 arcsec,Shallow,Ar arc,Closed,none,IR,2,0.2,1,Night
Spectroscopy,"0.15""/pix",111 l/mm grating,No,1.28 - 1.37,1.0 arcsec,Shallow,Ar arc,Closed,none,IR,2,0.2,1,Night
